optimizer,lr,seed,epoch,val_loss,val_top1,val_top5
muon,0.005,42,0,1.886100,44.4600,89.7800
muon,0.005,42,1,1.078700,63.6200,96.8200
muon,0.005,42,2,0.774000,72.9600,98.2600
muon,0.005,42,3,0.545500,80.9800,99.1400
muon,0.005,42,4,0.483300,83.7300,99.3000
muon,0.005,42,5,0.416300,85.5400,99.3800
muon,0.005,42,6,0.395400,86.3300,99.5700
muon,0.005,42,7,0.339700,88.7200,99.6000
muon,0.005,42,8,0.322400,88.9900,99.7000
muon,0.005,42,9,0.296500,90.0000,99.7000
muon,0.005,42,10,0.308400,89.6900,99.6700
muon,0.005,42,11,0.304500,89.8400,99.6900
muon,0.005,42,12,0.290500,90.6500,99.7500
muon,0.005,42,13,0.287600,90.7900,99.7200
muon,0.005,42,14,0.264800,91.2200,99.7100
muon,0.005,42,15,0.256100,91.6500,99.6900
muon,0.005,42,16,0.253500,92.2500,99.7300
muon,0.005,42,17,0.254200,92.1300,99.7600
muon,0.005,42,18,0.241400,92.4200,99.8200
muon,0.005,42,19,0.243500,92.5800,99.7600
muon,0.005,42,20,0.237400,92.5700,99.7900
muon,0.005,42,21,0.236400,92.7900,99.7900
muon,0.005,42,22,0.235700,92.7300,99.8100
muon,0.005,42,23,0.235600,92.7600,99.8000
muon,0.005,43,0,1.922200,42.8200,88.8300
muon,0.005,43,1,1.091900,63.6700,96.7200
muon,0.005,43,2,0.708800,75.5700,98.5400
muon,0.005,43,3,0.545800,81.1600,98.9800
muon,0.005,43,4,0.501900,82.5700,99.2700
muon,0.005,43,5,0.396300,86.5100,99.4100
muon,0.005,43,6,0.414600,85.4700,99.4400
muon,0.005,43,7,0.362400,87.4400,99.5500
muon,0.005,43,8,0.316100,89.5800,99.6400
muon,0.005,43,9,0.313000,89.2000,99.7000
muon,0.005,43,10,0.291400,90.4500,99.6400
muon,0.005,43,11,0.296600,90.0800,99.6000
muon,0.005,43,12,0.292900,90.5600,99.6600
muon,0.005,43,13,0.271100,91.4000,99.6800
muon,0.005,43,14,0.271200,91.6300,99.6100
muon,0.005,43,15,0.260200,91.8800,99.7100
muon,0.005,43,16,0.257100,92.0900,99.7300
muon,0.005,43,17,0.245200,92.4900,99.7600
muon,0.005,43,18,0.251700,92.4900,99.7600
muon,0.005,43,19,0.243700,92.6200,99.8100
muon,0.005,43,20,0.240800,92.8100,99.8000
muon,0.005,43,21,0.235900,92.9000,99.8300
muon,0.005,43,22,0.237700,92.9200,99.8200
muon,0.005,43,23,0.236900,92.8700,99.8200
muon,0.005,44,0,1.906800,43.4000,89.3700
muon,0.005,44,1,1.072700,64.1400,96.7600
muon,0.005,44,2,0.719600,75.2700,98.2200
muon,0.005,44,3,0.635400,78.4100,98.7500
muon,0.005,44,4,0.506000,82.5000,99.0200
muon,0.005,44,5,0.404800,86.2000,99.3600
muon,0.005,44,6,0.368000,87.4800,99.4100
muon,0.005,44,7,0.353300,87.9300,99.5700
muon,0.005,44,8,0.311900,89.5200,99.6700
muon,0.005,44,9,0.296800,90.3200,99.6700
muon,0.005,44,10,0.321200,89.5700,99.7100
muon,0.005,44,11,0.306500,90.0700,99.7200
muon,0.005,44,12,0.280000,90.9300,99.7900
muon,0.005,44,13,0.274000,91.3500,99.7800
muon,0.005,44,14,0.268800,91.5400,99.7900
muon,0.005,44,15,0.260200,91.8300,99.7500
muon,0.005,44,16,0.255400,91.8800,99.8200
muon,0.005,44,17,0.242800,92.4200,99.7800
muon,0.005,44,18,0.243700,92.3200,99.7900
muon,0.005,44,19,0.241800,92.5500,99.8300
muon,0.005,44,20,0.235800,92.7300,99.8400
muon,0.005,44,21,0.233800,92.7100,99.8000
muon,0.005,44,22,0.233100,92.6900,99.8300
muon,0.005,44,23,0.233000,92.7300,99.8000
muon,0.01,42,0,1.602200,50.3800,92.5200
muon,0.01,42,1,0.825800,71.6700,97.9500
muon,0.01,42,2,0.634700,77.6000,99.0200
muon,0.01,42,3,0.524300,81.8800,99.1500
muon,0.01,42,4,0.423100,85.4900,99.4000
muon,0.01,42,5,0.380200,87.0500,99.4300
