optimizer,lr,seed,completed,num_epochs_observed,total_epochs,wallclock_s,final_val_top1,best_val_top1,last3_val_top1,final_val_loss,best_val_loss,sweep_dir,log_path
muon,0.005,42,1,24,24,90.800,92.7600,92.7900,92.7600,0.2356,0.2356,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.005_seed=42.log
muon,0.005,43,1,24,24,90.700,92.8700,92.9200,92.8967,0.2369,0.2359,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.005_seed=43.log
muon,0.005,44,1,24,24,111.900,92.7300,92.7300,92.7100,0.2330,0.2330,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.005_seed=44.log
muon,0.01,42,1,24,24,111.900,93.5200,93.6200,93.5467,0.2125,0.2124,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.01_seed=42.log
muon,0.01,43,1,24,24,110.400,93.2900,93.3000,93.2900,0.2234,0.2234,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.01_seed=43.log
muon,0.01,44,1,24,24,110.200,93.5300,93.5400,93.4967,0.2173,0.2173,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.01_seed=44.log
muon,0.02,42,1,24,24,111.600,93.7800,93.8200,93.7867,0.2072,0.2070,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.02_seed=42.log
muon,0.02,43,1,24,24,111.600,93.7400,93.7600,93.7367,0.2120,0.2117,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.02_seed=43.log
muon,0.02,44,1,24,24,91.900,93.4600,93.4900,93.4767,0.2152,0.2152,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.02_seed=44.log
muon,0.04,42,1,24,24,93.200,93.6500,93.6500,93.6033,0.2154,0.2154,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.04_seed=42.log
muon,0.04,43,1,24,24,113.800,93.6800,93.6800,93.6333,0.2128,0.2128,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.04_seed=43.log
muon,0.04,44,1,24,24,112.300,93.9200,93.9200,93.8533,0.2100,0.2099,20260421_015610,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_015610/name=muon_lr=0.04_seed=44.log
muon_moonlight,0.005,42,1,24,24,91.900,93.6900,93.6900,93.6533,0.2107,0.2107,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.005_seed=42.log
muon_moonlight,0.005,43,1,24,24,92.900,93.5600,93.5700,93.5333,0.2105,0.2105,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.005_seed=43.log
muon_moonlight,0.005,44,1,24,24,111.600,93.6800,93.6800,93.6333,0.2131,0.2131,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.005_seed=44.log
muon_moonlight,0.01,42,1,24,24,111.600,93.5600,93.6000,93.5733,0.2128,0.2128,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.01_seed=42.log
muon_moonlight,0.01,43,1,24,24,112.600,93.7500,93.8000,93.7700,0.2072,0.2072,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.01_seed=43.log
muon_moonlight,0.01,44,1,24,24,112.600,93.9300,93.9300,93.9133,0.2058,0.2058,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.01_seed=44.log
muon_moonlight,0.02,42,1,24,24,92.300,93.7400,93.7800,93.7400,0.2108,0.2108,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.02_seed=42.log
muon_moonlight,0.02,43,1,24,24,91.300,93.1800,93.2400,93.2200,0.2208,0.2208,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.02_seed=43.log
muon_moonlight,0.02,44,1,24,24,112.400,93.5600,93.6200,93.5300,0.2085,0.2083,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.02_seed=44.log
muon_moonlight,0.04,42,1,24,24,112.300,93.8000,93.8200,93.7900,0.2095,0.2085,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.04_seed=42.log
muon_moonlight,0.04,43,1,24,24,91.500,93.9900,93.9900,93.9800,0.2033,0.2033,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.04_seed=43.log
muon_moonlight,0.04,44,1,24,24,91.800,93.4600,93.4600,93.4200,0.2211,0.2205,20260421_020803,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_020803/name=muon_moonlight_lr=0.04_seed=44.log
orscale_muon,0.005,42,1,24,24,92.200,92.0100,92.0700,91.9933,0.2538,0.2534,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.005_seed=42.log
orscale_muon,0.005,43,1,24,24,92.000,92.1000,92.2600,92.1567,0.2509,0.2506,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.005_seed=43.log
orscale_muon,0.005,44,1,24,24,90.800,92.6300,92.6300,92.5833,0.2465,0.2465,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.005_seed=44.log
orscale_muon,0.01,42,1,24,24,90.400,93.6000,93.6300,93.6033,0.2044,0.2041,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.01_seed=42.log
orscale_muon,0.01,43,1,24,24,91.400,93.6300,93.6300,93.6067,0.2081,0.2081,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.01_seed=43.log
orscale_muon,0.01,44,1,24,24,91.500,93.5800,93.5800,93.5533,0.2045,0.2045,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.01_seed=44.log
orscale_muon,0.02,42,1,24,24,91.300,94.1500,94.1500,94.0433,0.1906,0.1906,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.02_seed=42.log
orscale_muon,0.02,43,1,24,24,90.900,93.9600,94.0300,93.9800,0.1956,0.1956,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.02_seed=43.log
orscale_muon,0.02,44,1,24,24,121.800,94.2000,94.2000,94.1667,0.1881,0.1881,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.02_seed=44.log
orscale_muon,0.04,42,1,24,24,121.700,94.0100,94.0200,94.0100,0.2041,0.2041,20260421_021945,/nfs/home/svu/e0572481/OrScale/sweeps/cifar10_sweeps/20260421_021945/name=orscale_muon_lr=0.04_seed=42.log
