optimizer,lr,seed,epoch,step,train_loss,train_top1,lr_mult,elapsed_s
muon,0.005,42,0,50,2.275100,18.2900,0.1000,6.100
muon,0.005,42,1,100,1.906100,42.3800,0.2000,8.200
muon,0.005,42,1,150,1.684800,46.6100,0.3000,9.900
muon,0.005,42,2,200,1.074300,64.2900,0.4000,11.900
muon,0.005,42,2,250,0.950500,67.7100,0.5000,13.500
muon,0.005,42,3,300,0.664600,78.0600,0.6000,15.600
muon,0.005,42,3,350,0.629800,78.7000,0.7000,17.200
muon,0.005,42,4,400,0.497200,83.6400,0.8000,19.200
muon,0.005,42,4,450,0.475400,84.1500,0.9000,20.900
muon,0.005,42,5,500,0.391000,86.9900,1.0000,22.900
muon,0.005,42,5,550,0.385400,87.1700,0.9982,24.500
muon,0.005,42,6,600,0.324900,89.3300,0.9926,26.600
muon,0.005,42,6,650,0.317600,89.4700,0.9835,28.200
muon,0.005,42,7,700,0.244500,92.0000,0.9708,30.200
muon,0.005,42,7,750,0.257000,91.6300,0.9546,31.800
muon,0.005,42,8,800,0.214200,93.1800,0.9350,33.900
muon,0.005,42,8,850,0.210500,93.2000,0.9122,35.500
muon,0.005,42,9,900,0.166200,94.9700,0.8864,37.600
muon,0.005,42,9,950,0.179100,94.2600,0.8578,39.200
muon,0.005,42,10,1000,0.143600,95.6400,0.8265,41.200
muon,0.005,42,10,1050,0.149800,95.2100,0.7928,43.000
muon,0.005,42,11,1100,0.118000,96.4700,0.7569,45.200
muon,0.005,42,11,1150,0.123700,96.1700,0.7192,46.800
muon,0.005,42,12,1200,0.093200,97.1400,0.6798,48.800
muon,0.005,42,12,1250,0.098000,96.9200,0.6391,50.500
muon,0.005,42,13,1300,0.080300,97.5700,0.5973,52.600
muon,0.005,42,13,1350,0.081400,97.5500,0.5549,54.200
muon,0.005,42,14,1400,0.065200,98.2000,0.5120,56.300
muon,0.005,42,14,1450,0.065500,98.0500,0.4691,57.900
muon,0.005,42,15,1500,0.055900,98.3900,0.4264,60.000
muon,0.005,42,15,1550,0.054400,98.4800,0.3842,61.600
muon,0.005,42,16,1600,0.040900,98.8900,0.3429,63.700
muon,0.005,42,17,1650,0.025100,99.6100,0.3027,65.800
muon,0.005,42,17,1700,0.031900,99.2500,0.2640,67.400
muon,0.005,42,18,1750,0.030600,99.2700,0.2271,69.500
muon,0.005,42,18,1800,0.025800,99.4500,0.1921,71.100
muon,0.005,42,19,1850,0.019500,99.6100,0.1594,73.200
muon,0.005,42,19,1900,0.020900,99.6000,0.1293,74.800
muon,0.005,42,20,1950,0.017800,99.6900,0.1018,76.900
muon,0.005,42,20,2000,0.016900,99.6700,0.0774,78.500
muon,0.005,42,21,2050,0.014800,99.7900,0.0560,80.600
muon,0.005,42,21,2100,0.014000,99.8000,0.0379,82.200
muon,0.005,42,22,2150,0.011600,99.8000,0.0232,84.200
muon,0.005,42,22,2200,0.011900,99.8100,0.0120,85.900
muon,0.005,42,23,2250,0.011700,99.8900,0.0045,87.900
muon,0.005,42,23,2300,0.011600,99.8500,0.0006,89.600
muon,0.005,43,0,50,2.294300,14.4200,0.1000,6.100
muon,0.005,43,1,100,1.925600,42.9000,0.2000,8.200
muon,0.005,43,1,150,1.714100,45.7600,0.3000,9.900
muon,0.005,43,2,200,1.098600,62.6600,0.4000,11.900
muon,0.005,43,2,250,0.979500,66.8500,0.5000,13.500
muon,0.005,43,3,300,0.672000,77.1100,0.6000,15.600
muon,0.005,43,3,350,0.639700,78.5300,0.7000,17.100
muon,0.005,43,4,400,0.506300,83.4500,0.8000,19.200
muon,0.005,43,4,450,0.487300,83.9000,0.9000,20.800
muon,0.005,43,5,500,0.408400,86.4100,1.0000,22.800
muon,0.005,43,5,550,0.397500,86.7300,0.9982,24.500
muon,0.005,43,6,600,0.318600,89.4100,0.9926,26.500
muon,0.005,43,6,650,0.315100,89.6200,0.9835,28.100
muon,0.005,43,7,700,0.252600,91.6100,0.9708,30.200
muon,0.005,43,7,750,0.260200,91.3200,0.9546,31.800
muon,0.005,43,8,800,0.214300,93.2900,0.9350,33.800
muon,0.005,43,8,850,0.216200,92.9100,0.9122,35.500
muon,0.005,43,9,900,0.182300,94.0800,0.8864,37.500
muon,0.005,43,9,950,0.184600,94.0000,0.8578,39.200
muon,0.005,43,10,1000,0.147300,95.4800,0.8265,41.200
muon,0.005,43,10,1050,0.152000,95.0900,0.7928,43.000
muon,0.005,43,11,1100,0.123300,96.2100,0.7569,45.200
muon,0.005,43,11,1150,0.126200,96.1000,0.7192,46.800
muon,0.005,43,12,1200,0.099200,97.0200,0.6798,48.800
muon,0.005,43,12,1250,0.102300,96.8300,0.6391,50.500
muon,0.005,43,13,1300,0.079800,97.6800,0.5973,52.600
muon,0.005,43,13,1350,0.081600,97.5500,0.5549,54.200
muon,0.005,43,14,1400,0.067500,98.0800,0.5120,56.300
muon,0.005,43,14,1450,0.066800,98.1000,0.4691,57.900
muon,0.005,43,15,1500,0.053800,98.5600,0.4264,60.000
muon,0.005,43,15,1550,0.052400,98.6300,0.3842,61.600
muon,0.005,43,16,1600,0.041700,98.9300,0.3429,63.600
muon,0.005,43,17,1650,0.023200,99.8000,0.3027,65.700
muon,0.005,43,17,1700,0.031300,99.3000,0.2640,67.300
muon,0.005,43,18,1750,0.026400,99.4600,0.2271,69.400
muon,0.005,43,18,1800,0.025100,99.4500,0.1921,71.100
muon,0.005,43,19,1850,0.021600,99.3900,0.1594,73.100
muon,0.005,43,19,1900,0.019600,99.6500,0.1293,74.800
muon,0.005,43,20,1950,0.016500,99.7300,0.1018,76.800
