optimizer,lr,n_seeds,headline_mean,headline_std,final_mean,final_std,best_mean,best_std,wallclock_mean_s,wallclock_std_s
muon,0.0050,3,92.7889,0.0966,92.7867,0.0737,92.8133,0.0971,97.8000,12.2111
muon,0.0100,3,93.4444,0.1361,93.4467,0.1358,93.4867,0.1665,110.8333,0.9292
muon,0.0200,3,93.6667,0.1664,93.6600,0.1744,93.6900,0.1758,105.0333,11.3738
muon,0.0400,3,93.6967,0.1365,93.7500,0.1480,93.7500,0.1480,106.4333,11.4849
muon_moonlight,0.0050,3,93.6067,0.0643,93.6433,0.0723,93.6467,0.0666,98.8000,11.0964
muon_moonlight,0.0100,3,93.7522,0.1707,93.7467,0.1850,93.7767,0.1662,112.2667,0.5774
muon_moonlight,0.0200,3,93.4967,0.2616,93.4933,0.2859,93.5467,0.2774,98.6667,11.9039
muon_moonlight,0.0400,3,93.7300,0.2848,93.7500,0.2685,93.7567,0.2706,98.5333,11.9232
orscale_muon,0.0050,3,92.2444,0.3046,92.2467,0.3350,92.3200,0.2848,91.6667,0.7572
orscale_muon,0.0100,3,93.5878,0.0299,93.6033,0.0252,93.6133,0.0289,91.1000,0.6083
orscale_muon,0.0200,3,94.0633,0.0949,94.1033,0.1266,94.1267,0.0874,101.3333,17.7258
orscale_muon,0.0400,3,93.9333,0.0698,93.9400,0.0608,93.9600,0.0600,122.5667,0.7506
orscale_muon_wd,0.0050,3,92.3089,0.1148,92.3133,0.1079,92.3867,0.1050,98.6333,12.2696
orscale_muon_wd,0.0100,3,93.5511,0.2281,93.6033,0.2325,93.6033,0.2325,118.2000,4.6119
orscale_muon_wd,0.0200,3,94.0544,0.0849,94.0767,0.1041,94.0833,0.0929,112.6333,17.6959
orscale_muon_wd,0.0400,3,93.8144,0.1658,93.8367,0.1604,93.8533,0.1350,111.3667,15.5732
orscale_muon_moonlight,0.0050,3,92.5789,0.0411,92.5833,0.0503,92.6600,0.0624,102.1333,16.8693
orscale_muon_moonlight,0.0100,3,93.5089,0.0626,93.5133,0.0737,93.5200,0.0700,101.4333,16.7989
orscale_muon_moonlight,0.0200,3,94.0533,0.1201,94.0433,0.1650,94.1200,0.1179,111.0333,17.0119
orscale_muon_moonlight,0.0400,3,93.8044,0.1241,93.8600,0.1311,93.8933,0.0924,110.0333,16.7506
mutrust,0.0050,3,93.8367,0.1453,93.8433,0.1601,93.8667,0.1528,100.7000,15.5309
mutrust,0.0100,3,93.6533,0.1510,93.6633,0.1550,93.6933,0.1365,100.3667,14.9487
mutrust,0.0200,3,93.7067,0.1980,93.7000,0.2406,93.7333,0.2001,122.6667,2.2234
mutrust,0.0400,3,93.7789,0.0973,93.8000,0.1217,93.8200,0.0872,101.6667,15.4442
muscale,0.0050,3,93.6100,0.1567,93.6467,0.1901,93.6533,0.1804,94.5000,3.2970
muscale,0.0100,3,93.6511,0.0731,93.6533,0.0577,93.6833,0.0666,112.2667,18.2443
muscale,0.0200,3,93.5611,0.0743,93.5967,0.0929,93.6100,0.0781,123.0000,0.5568
muscale,0.0400,3,93.7478,0.0771,93.7733,0.0950,93.8367,0.0379,101.1000,19.3124
adamw,0.0010,3,92.5156,0.1438,92.5300,0.1217,92.5900,0.1735,87.4000,0.2000
adamw,0.0030,3,93.0511,0.1055,93.1000,0.0819,93.1100,0.0800,88.0333,0.3215
adamw,0.0100,3,93.1211,0.0411,93.1267,0.0351,93.1467,0.0379,88.8333,0.2517
lamb,0.0010,3,85.5589,0.1182,85.5800,0.0954,85.5833,0.1007,100.2000,20.7964
lamb,0.0030,3,90.5711,0.2271,90.5800,0.2722,90.6400,0.2291,122.8667,1.0693
lamb,0.0100,3,92.4033,0.1966,92.4633,0.2228,92.4700,0.2166,110.3333,19.6887
