opt,lr,seed,cfg,warmup,train_pattern,train_min1_step,train_min1_loss,train_bump_step,train_bump_loss,train_min2_step,train_min2_loss,train_delta_up,train_delta_down,val_pattern,val_min1_step,val_min1_loss,val_bump_step,val_bump_loss,val_min2_step,val_min2_loss,log
adamw,1e-3,42,small_125m,1000,1,840,4.8413,890,6.1700,16110,3.3013,1.3286,2.8687,0,16000,3.3097,,,,,sweeps/fineweb_20260421_035149/small_125m-adamw-lr1e-3-seed42.log
adamw,3e-4,42,small_125m,1000,0,19320,3.3504,,,,,,,0,20000,3.3561,,,,,sweeps/fineweb_20260421_035149/small_125m-adamw-lr3e-4-seed42.log
muon,0.005,42,small_125m,1000,0,19320,3.2464,,,,,,,0,20000,3.2509,,,,,sweeps/fineweb_20260421_034858/small_125m-muon-lr0.005-seed42.log
muon,0.01,42,small_125m,1000,0,19320,3.2208,,,,,,,0,20000,3.2242,,,,,sweeps/fineweb_20260421_034858/small_125m-muon-lr0.01-seed42.log
muon,0.02,42,small_125m,1000,0,19320,3.2077,,,,,,,0,20000,3.2111,,,,,sweeps/fineweb_20260421_034858/small_125m-muon-lr0.02-seed42.log
muon,0.04,42,small_125m,1000,0,19320,3.2175,,,,,,,0,20000,3.2214,,,,,sweeps/fineweb_20260421_034858/small_125m-muon-lr0.04-seed42.log
muon_moonlight,0.005,42,small_125m,1000,1,1850,3.9912,3390,5.5022,19320,4.2960,1.5110,1.2061,1,1500,4.2032,4000,4.8900,20000,4.3237,sweeps/fineweb_20260421_034858/small_125m-muon_moonlight-lr0.005-seed42.log
muon_moonlight,0.01,42,small_125m,1000,1,830,4.3639,1770,5.3856,19320,4.6259,1.0218,0.7598,1,500,4.8098,2500,5.2658,20000,4.6690,sweeps/fineweb_20260421_034858/small_125m-muon_moonlight-lr0.01-seed42.log
muon_moonlight,0.02,42,small_125m,1000,1,570,4.7057,1050,5.6397,19320,4.7098,0.9340,0.9299,0,20000,4.7518,,,,,sweeps/fineweb_20260421_034858/small_125m-muon_moonlight-lr0.02-seed42.log
muon_moonlight,0.04,42,small_125m,1000,1,510,5.4065,2660,6.2962,19320,4.8822,0.8897,1.4140,1,500,5.9189,2500,6.2267,20000,4.9272,sweeps/fineweb_20260421_034858/small_125m-muon_moonlight-lr0.04-seed42.log
mutrust,0.005,42,small_125m,1000,1,2410,3.8876,6380,4.9480,19320,4.4084,1.0605,0.5396,1,2500,3.9837,6000,4.9186,20000,4.4408,sweeps/fineweb_20260421_035149/small_125m-mutrust-lr0.005-seed42.log
mutrust,0.01,42,small_125m,1000,1,790,4.3721,1320,5.5766,19320,4.8479,1.2045,0.7287,1,500,4.9133,2500,5.5286,20000,4.8943,sweeps/fineweb_20260421_035149/small_125m-mutrust-lr0.01-seed42.log
mutrust,0.02,42,small_125m,1000,1,540,4.7340,1300,5.9218,19320,4.7822,1.1878,1.1396,0,20000,4.8256,,,,,sweeps/fineweb_20260421_035149/small_125m-mutrust-lr0.02-seed42.log
mutrust,0.04,42,small_125m,1000,1,510,5.6227,1640,6.3928,19510,5.2616,0.7702,1.1312,0,20000,5.3139,,,,,sweeps/fineweb_20260421_035149/small_125m-mutrust-lr0.04-seed42.log
orscale_muon_moonlight,0.005,42,small_125m,1000,0,19320,3.2080,,,,,,,0,20000,3.2117,,,,,sweeps/fineweb_20260421_035149/small_125m-orscale_muon_moonlight-lr0.005-seed42.log
orscale_muon_moonlight,0.01,42,small_125m,1000,1,2200,3.8872,3970,7.3022,19320,4.7155,3.4150,2.5867,1,2000,4.0871,5000,5.8322,20000,4.7549,sweeps/fineweb_20260421_035149/small_125m-orscale_muon_moonlight-lr0.01-seed42.log
orscale_muon_moonlight,0.02,42,small_125m,1000,1,830,4.2892,7420,6.7082,19510,5.8721,2.4190,0.8362,1,500,5.0612,8000,6.7217,20000,5.9297,sweeps/fineweb_20260421_035149/small_125m-orscale_muon_moonlight-lr0.02-seed42.log
orscale_muon_moonlight,0.04,42,small_125m,1000,1,580,4.6186,8920,6.7451,19500,6.1562,2.1265,0.5888,1,500,5.8303,10000,6.7468,20000,6.2164,sweeps/fineweb_20260421_035149/small_125m-orscale_muon_moonlight-lr0.04-seed42.log
