tag,opt,lr,seed,warmup,final_train_loss,final_val_loss,best_val_loss,best_val_step,train_pattern,train_min1_loss,train_bump_loss,train_min2_loss,train_delta_up,train_delta_down,grad_n,grad_mean,grad_post_warmup_mean,grad_post_warmup_sat_frac,log
baseline,muon,0.005,42,1000,3.2575,3.2509,3.2506,20000,0,3.2464,,,,,0,,,,sweeps/fineweb_20260421_034858/small_125m-muon-lr0.005-seed42.log
baseline,muon,0.01,42,1000,3.2320,3.2242,3.2239,20000,0,3.2208,,,,,0,,,,sweeps/fineweb_20260421_034858/small_125m-muon-lr0.01-seed42.log
baseline,muon,0.02,42,1000,3.2183,3.2111,3.2106,20000,0,3.2077,,,,,0,,,,sweeps/fineweb_20260421_034858/small_125m-muon-lr0.02-seed42.log
baseline,muon,0.04,42,1000,3.2285,3.2214,3.2207,20000,0,3.2175,,,,,0,,,,sweeps/fineweb_20260421_034858/small_125m-muon-lr0.04-seed42.log
new,muon_moonlight,3e-4,42,1000,3.2908,3.2841,3.2839,20000,0,3.2793,,,,,2000,0.636,0.465,0.030,sweeps/fineweb_20260427_014028/small_125m-muon_moonlight-lr3e-4-seed42.log
new,muon_moonlight,1e-3,42,1000,3.2399,3.2319,3.2317,20000,0,3.2294,,,,,2000,0.345,0.258,0.000,sweeps/fineweb_20260427_014028/small_125m-muon_moonlight-lr1e-3-seed42.log
new,muon_moonlight,3e-3,42,1000,3.2439,3.2372,3.2370,20000,0,3.2332,,,,,2000,0.376,0.335,0.005,sweeps/fineweb_20260427_014028/small_125m-muon_moonlight-lr3e-3-seed42.log
new,muon_moonlight,1e-2,42,1000,4.6035,4.6262,4.4595,1000,1,4.3330,5.2455,4.5875,0.9125,0.6580,2000,8.793,9.216,0.996,sweeps/fineweb_20260427_014028/small_125m-muon_moonlight-lr1e-2-seed42.log
new,mutrust,0.005,42,1000,3.2418,3.2339,3.2337,20000,0,3.2311,,,,,2000,0.367,0.264,0.000,sweeps/fineweb_20260427_061908/small_125m-mutrust-lr0.005-seed42.log
new,mutrust,0.01,42,1000,3.2290,3.2215,3.2212,20000,0,3.2181,,,,,2000,0.353,0.289,0.000,sweeps/fineweb_20260427_061908/small_125m-mutrust-lr0.01-seed42.log
new,mutrust,0.02,42,1000,3.2238,3.2164,3.2160,20000,0,3.2132,,,,,2000,0.402,0.360,0.038,sweeps/fineweb_20260427_061908/small_125m-mutrust-lr0.02-seed42.log
new,mutrust,0.04,42,1000,3.7306,3.7332,3.7326,20000,1,4.0259,4.3795,3.7158,0.3535,0.6637,2000,0.438,0.414,0.109,sweeps/fineweb_20260427_061908/small_125m-mutrust-lr0.04-seed42.log
new,orscale_muon_moonlight,3e-4,42,1000,3.3501,3.3446,3.3445,19500,0,3.3383,,,,,2000,0.968,0.761,0.129,sweeps/fineweb_20260427_014028/small_125m-orscale_muon_moonlight-lr3e-4-seed42.log
new,orscale_muon_moonlight,1e-3,42,1000,3.2619,3.2556,3.2554,20000,0,3.2512,,,,,2000,0.488,0.357,0.006,sweeps/fineweb_20260427_014028/small_125m-orscale_muon_moonlight-lr1e-3-seed42.log
new,orscale_muon_moonlight,3e-3,42,1000,3.2310,3.2232,3.2229,20000,0,3.2201,,,,,2000,0.315,0.248,0.000,sweeps/fineweb_20260427_014028/small_125m-orscale_muon_moonlight-lr3e-3-seed42.log
new,orscale_muon_moonlight,1e-2,42,1000,4.6521,4.6790,4.1625,1000,1,4.1432,5.7836,4.6372,1.6404,1.1464,2000,6.207,6.475,0.999,sweeps/fineweb_20260427_014028/small_125m-orscale_muon_moonlight-lr1e-2-seed42.log
old,muon_moonlight,0.005,42,1000,4.3126,4.3237,4.0135,2000,1,3.9912,5.5022,4.2960,1.5110,1.2061,0,,,,sweeps/fineweb_20260421_034858/small_125m-muon_moonlight-lr0.005-seed42.log
old,muon_moonlight,0.01,42,1000,4.6406,4.6690,4.4868,1000,1,4.3639,5.3856,4.6259,1.0218,0.7598,0,,,,sweeps/fineweb_20260421_034858/small_125m-muon_moonlight-lr0.01-seed42.log
old,muon_moonlight,0.02,42,1000,4.7244,4.7518,4.7513,20000,1,4.7057,5.6397,4.7098,0.9340,0.9299,0,,,,sweeps/fineweb_20260421_034858/small_125m-muon_moonlight-lr0.02-seed42.log
old,muon_moonlight,0.04,42,1000,4.8954,4.9272,4.9263,20000,1,5.4065,6.2962,4.8822,0.8897,1.4140,0,,,,sweeps/fineweb_20260421_034858/small_125m-muon_moonlight-lr0.04-seed42.log
old,mutrust,0.005,42,1000,4.4239,4.4408,3.9093,2500,1,3.8876,4.9480,4.4084,1.0605,0.5396,0,,,,sweeps/fineweb_20260421_035149/small_125m-mutrust-lr0.005-seed42.log
old,mutrust,0.01,42,1000,4.8618,4.8943,4.6211,1000,1,4.3721,5.5766,4.8479,1.2045,0.7287,0,,,,sweeps/fineweb_20260421_035149/small_125m-mutrust-lr0.01-seed42.log
old,mutrust,0.02,42,1000,4.7959,4.8256,4.7724,500,1,4.7340,5.9218,4.7822,1.1878,1.1396,0,,,,sweeps/fineweb_20260421_035149/small_125m-mutrust-lr0.02-seed42.log
old,mutrust,0.04,42,1000,5.2762,5.3139,5.3129,20000,1,5.6227,6.3928,5.2616,0.7702,1.1312,0,,,,sweeps/fineweb_20260421_035149/small_125m-mutrust-lr0.04-seed42.log
old,orscale_muon_moonlight,0.005,42,1000,3.2186,3.2117,3.2113,20000,0,3.2080,,,,,0,,,,sweeps/fineweb_20260421_035149/small_125m-orscale_muon_moonlight-lr0.005-seed42.log
old,orscale_muon_moonlight,0.01,42,1000,4.7287,4.7549,3.8971,2000,1,3.8872,7.3022,4.7155,3.4150,2.5867,0,,,,sweeps/fineweb_20260421_035149/small_125m-orscale_muon_moonlight-lr0.01-seed42.log
old,orscale_muon_moonlight,0.02,42,1000,5.8882,5.9297,4.3660,1000,1,4.2892,6.7082,5.8721,2.4190,0.8362,0,,,,sweeps/fineweb_20260421_035149/small_125m-orscale_muon_moonlight-lr0.02-seed42.log
old,orscale_muon_moonlight,0.04,42,1000,6.1719,6.2164,4.6805,500,1,4.6186,6.7451,6.1562,2.1265,0.5888,0,,,,sweeps/fineweb_20260421_035149/small_125m-orscale_muon_moonlight-lr0.04-seed42.log
