2026-05-02 21:09:55 | INFO | Building model...
2026-05-02 21:09:56 | INFO | Model: 123.6M parameters
2026-05-02 21:09:56 | INFO | Building optimizer(s): orscale_muon_moonlight_calibrated
2026-05-02 21:09:56 | INFO | Building scheduler...
2026-05-02 21:09:56 | INFO | Building training data loader...
2026-05-02 21:09:56 | INFO | Building validation data loader...
2026-05-02 21:09:56 | INFO | Launching training run
2026-05-02 21:09:56 | INFO |   config: configs/small_125m.yaml
2026-05-02 21:09:56 | INFO |   overrides: ['model.preset=small', 'model.max_seq_len=1024', 'training.batch_size=32', 'training.grad_accum_steps=1', 'training.max_steps=20000', 'training.seed=42', 'training.checkpoint_subdir=fineweb_small_125m/orscale_muon_moonlight_calibrated', 'training.checkpoint_subdir_mode=replace_leaf', 'optimizer.name=orscale_muon_moonlight_calibrated', 'logging.wandb_name=fineweb_small_125m-orscale_muon_moonlight_calibrated-seed42', 'optimizer.lr=0.001', 'optimizer.weight_decay=0.1', 'optimizer.adamw_lr=0.001', 'optimizer.adamw_weight_decay=0.1', 'optimizer.adamw_betas=[0.9, 0.95]', 'optimizer.r_min=0.1', 'optimizer.r_max=5.0', 'training.save_every=20000']
2026-05-02 21:09:56 | INFO |   distributed: rank=0 local_rank=0 world_size=8 device=cuda:0
2026-05-02 21:09:56 | INFO |   seed: base=42 effective_rank_seed=42 precision=bfloat16
2026-05-02 21:09:56 | INFO |   model: preset=small seq_len=1024 norm=rmsnorm mlp=relusqr pos=rope tie_weights=True
2026-05-02 21:09:56 | INFO |   optimizer: name=orscale_muon_moonlight_calibrated optimizers=2 lr=0.001 weight_decay=0.1 momentum=0.95
2026-05-02 21:09:56 | INFO |   optimizer extras: ns_iters=5 adamw_lr=0.001 alpha=0.5 r_min=0.1 r_max=5.0 c_denom=auto
2026-05-02 21:09:56 | INFO |   schedule: max_steps=20000 warmup_steps=1000 grad_accum=1 tokens/step=262,144
2026-05-02 21:09:56 | INFO |   training cadence: log_every=10 val_every=500 val_steps=20 save_every=20000
2026-05-02 21:09:56 | INFO |   data(train): in-memory .bin shards (103 files) from /mnt/dllm/ruilai/dataset/fineweb10B/fineweb_train_*.bin
2026-05-02 21:09:57 | INFO |   data(val): in-memory .bin shards (1 files) from /mnt/dllm/ruilai/dataset/fineweb10B/fineweb_val_*.bin
2026-05-02 21:09:57 | INFO |   loaders: train=DataLoader val=DataLoader
2026-05-02 21:09:57 | INFO |   diagnostics: log_every=50 heavy_log_every=500
2026-05-02 21:09:57 | INFO |   wandb: enabled (project=orscale-fineweb10B, group=small_125m)
2026-05-02 21:09:57 | INFO | Starting training loop...
step 10/20000 | loss 10.9776 | lr_mult 0.0100 | tok/s 318833 | grad_norm 12.561
step 20/20000 | loss 10.7887 | lr_mult 0.0200 | tok/s 445197 | grad_norm 11.562
step 30/20000 | loss 10.4149 | lr_mult 0.0300 | tok/s 512577 | grad_norm 8.571
step 40/20000 | loss 9.9305 | lr_mult 0.0400 | tok/s 553981 | grad_norm 5.748
step 50/20000 | loss 9.3530 | lr_mult 0.0500 | tok/s 582768 | grad_norm 3.967
step 60/20000 | loss 8.8188 | lr_mult 0.0600 | tok/s 603532 | grad_norm 2.690
step 70/20000 | loss 8.2442 | lr_mult 0.0700 | tok/s 619044 | grad_norm 1.808
step 80/20000 | loss 7.7266 | lr_mult 0.0800 | tok/s 630898 | grad_norm 1.404
step 90/20000 | loss 7.3751 | lr_mult 0.0900 | tok/s 641004 | grad_norm 1.244
step 100/20000 | loss 7.1043 | lr_mult 0.1000 | tok/s 649303 | grad_norm 1.216
step 110/20000 | loss 6.9582 | lr_mult 0.1100 | tok/s 656154 | grad_norm 1.571
step 120/20000 | loss 6.7962 | lr_mult 0.1200 | tok/s 661827 | grad_norm 2.467
step 130/20000 | loss 6.6958 | lr_mult 0.1300 | tok/s 667143 | grad_norm 2.073
step 140/20000 | loss 6.6340 | lr_mult 0.1400 | tok/s 671466 | grad_norm 2.601
step 150/20000 | loss 6.4863 | lr_mult 0.1500 | tok/s 675211 | grad_norm 2.393
step 160/20000 | loss 6.4385 | lr_mult 0.1600 | tok/s 678712 | grad_norm 2.111
step 170/20000 | loss 6.3983 | lr_mult 0.1700 | tok/s 681907 | grad_norm 2.240
step 180/20000 | loss 6.2801 | lr_mult 0.1800 | tok/s 684751 | grad_norm 2.278
step 190/20000 | loss 6.2578 | lr_mult 0.1900 | tok/s 686882 | grad_norm 2.482
step 200/20000 | loss 6.1826 | lr_mult 0.2000 | tok/s 689013 | grad_norm 2.283
step 210/20000 | loss 6.1504 | lr_mult 0.2100 | tok/s 691112 | grad_norm 2.216
step 220/20000 | loss 6.1072 | lr_mult 0.2200 | tok/s 693105 | grad_norm 2.175
step 230/20000 | loss 6.0999 | lr_mult 0.2300 | tok/s 694901 | grad_norm 2.319
step 240/20000 | loss 6.0376 | lr_mult 0.2400 | tok/s 696548 | grad_norm 2.294
step 250/20000 | loss 5.9861 | lr_mult 0.2500 | tok/s 698120 | grad_norm 2.221
step 260/20000 | loss 5.9754 | lr_mult 0.2600 | tok/s 699472 | grad_norm 1.999
step 270/20000 | loss 5.9747 | lr_mult 0.2700 | tok/s 700831 | grad_norm 2.326
step 280/20000 | loss 5.8982 | lr_mult 0.2800 | tok/s 702061 | grad_norm 2.153
step 290/20000 | loss 5.8816 | lr_mult 0.2900 | tok/s 703224 | grad_norm 2.256
step 300/20000 | loss 5.8593 | lr_mult 0.3000 | tok/s 704344 | grad_norm 2.316
step 310/20000 | loss 5.7993 | lr_mult 0.3100 | tok/s 705189 | grad_norm 2.165
step 320/20000 | loss 5.7396 | lr_mult 0.3200 | tok/s 705995 | grad_norm 2.204
step 330/20000 | loss 5.7067 | lr_mult 0.3300 | tok/s 706727 | grad_norm 2.483
step 340/20000 | loss 5.7221 | lr_mult 0.3400 | tok/s 707603 | grad_norm 2.898
step 350/20000 | loss 5.6509 | lr_mult 0.3500 | tok/s 708412 | grad_norm 2.605
step 360/20000 | loss 5.6383 | lr_mult 0.3600 | tok/s 709198 | grad_norm 2.876
step 370/20000 | loss 5.5595 | lr_mult 0.3700 | tok/s 709925 | grad_norm 3.287
step 380/20000 | loss 5.5410 | lr_mult 0.3800 | tok/s 710636 | grad_norm 3.197
step 390/20000 | loss 5.4817 | lr_mult 0.3900 | tok/s 711319 | grad_norm 3.204
step 400/20000 | loss 5.4224 | lr_mult 0.4000 | tok/s 711951 | grad_norm 3.408
step 410/20000 | loss 5.3855 | lr_mult 0.4100 | tok/s 712524 | grad_norm 3.335
step 420/20000 | loss 5.3674 | lr_mult 0.4200 | tok/s 713108 | grad_norm 2.857
step 430/20000 | loss 5.2988 | lr_mult 0.4300 | tok/s 713667 | grad_norm 2.221
step 440/20000 | loss 5.2394 | lr_mult 0.4400 | tok/s 714187 | grad_norm 2.122
step 450/20000 | loss 5.2328 | lr_mult 0.4500 | tok/s 714704 | grad_norm 2.584
step 460/20000 | loss 5.1947 | lr_mult 0.4600 | tok/s 715170 | grad_norm 2.974
step 470/20000 | loss 5.1243 | lr_mult 0.4700 | tok/s 715631 | grad_norm 2.585
step 480/20000 | loss 5.1247 | lr_mult 0.4800 | tok/s 716055 | grad_norm 2.234
step 490/20000 | loss 5.0970 | lr_mult 0.4900 | tok/s 716492 | grad_norm 2.409
step 500/20000 | loss 5.0737 | lr_mult 0.5000 | tok/s 716896 | grad_norm 2.456
step 500/20000 | val_loss 5.0544
step 510/20000 | loss 5.0334 | lr_mult 0.5100 | tok/s 697116 | grad_norm 2.267
step 520/20000 | loss 5.0252 | lr_mult 0.5200 | tok/s 697874 | grad_norm 2.320
step 530/20000 | loss 5.0212 | lr_mult 0.5300 | tok/s 698534 | grad_norm 1.962
step 540/20000 | loss 4.9108 | lr_mult 0.5400 | tok/s 699237 | grad_norm 1.956
step 550/20000 | loss 4.9319 | lr_mult 0.5500 | tok/s 699918 | grad_norm 2.325
step 560/20000 | loss 4.9297 | lr_mult 0.5600 | tok/s 700534 | grad_norm 2.220
step 570/20000 | loss 4.8988 | lr_mult 0.5700 | tok/s 701146 | grad_norm 1.739
step 580/20000 | loss 4.8554 | lr_mult 0.5800 | tok/s 701755 | grad_norm 1.891
step 590/20000 | loss 4.8242 | lr_mult 0.5900 | tok/s 702337 | grad_norm 1.591
step 600/20000 | loss 4.8234 | lr_mult 0.6000 | tok/s 702911 | grad_norm 1.766
step 610/20000 | loss 4.8158 | lr_mult 0.6100 | tok/s 703425 | grad_norm 1.655
step 620/20000 | loss 4.8216 | lr_mult 0.6200 | tok/s 703932 | grad_norm 1.738
step 630/20000 | loss 4.7768 | lr_mult 0.6300 | tok/s 704459 | grad_norm 1.853
step 640/20000 | loss 4.8064 | lr_mult 0.6400 | tok/s 704970 | grad_norm 1.752
step 650/20000 | loss 4.7220 | lr_mult 0.6500 | tok/s 705463 | grad_norm 1.725
step 660/20000 | loss 4.6488 | lr_mult 0.6600 | tok/s 705933 | grad_norm 1.603
step 670/20000 | loss 4.6978 | lr_mult 0.6700 | tok/s 706393 | grad_norm 1.558
step 680/20000 | loss 4.6338 | lr_mult 0.6800 | tok/s 706839 | grad_norm 1.364
step 690/20000 | loss 4.6311 | lr_mult 0.6900 | tok/s 707288 | grad_norm 1.932
step 700/20000 | loss 4.6419 | lr_mult 0.7000 | tok/s 707714 | grad_norm 1.803
step 710/20000 | loss 4.5805 | lr_mult 0.7100 | tok/s 708121 | grad_norm 1.616
step 720/20000 | loss 4.5657 | lr_mult 0.7200 | tok/s 708515 | grad_norm 1.557
