W0505 15:29:44.114000 209875 site-packages/torch/distributed/run.py:793] 
W0505 15:29:44.114000 209875 site-packages/torch/distributed/run.py:793] *****************************************
W0505 15:29:44.114000 209875 site-packages/torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0505 15:29:44.114000 209875 site-packages/torch/distributed/run.py:793] *****************************************
[W505 15:29:49.805994701 CUDAAllocatorConfig.h:28] Warning: expandable_segments not supported on this platform (function operator())
[W505 15:29:49.881829987 CUDAAllocatorConfig.h:28] Warning: expandable_segments not supported on this platform (function operator())
[W505 15:29:49.012106324 CUDAAllocatorConfig.h:28] Warning: expandable_segments not supported on this platform (function operator())
[W505 15:29:49.077924439 CUDAAllocatorConfig.h:28] Warning: expandable_segments not supported on this platform (function operator())
[W505 15:29:49.137097826 CUDAAllocatorConfig.h:28] Warning: expandable_segments not supported on this platform (function operator())
[W505 15:29:49.196233192 CUDAAllocatorConfig.h:28] Warning: expandable_segments not supported on this platform (function operator())
[W505 15:29:49.273156211 CUDAAllocatorConfig.h:28] Warning: expandable_segments not supported on this platform (function operator())
[W505 15:29:49.273727050 CUDAAllocatorConfig.h:28] Warning: expandable_segments not supported on this platform (function operator())
2026-05-05 15:29:55 | INFO | World size: 8, Device: cuda:0
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: yuxuanlou to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run qimqb801
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /ossfs/workspace/OrScale/wandb/run-20260505_153004-qimqb801
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run moonlight_1_1b-orscale_muon_moonlight_calibrated-seed42
wandb: ⭐️ View project at https://wandb.ai/yuxuanlou/orscale-fineweb10B
wandb: 🚀 View run at https://wandb.ai/yuxuanlou/orscale-fineweb10B/runs/qimqb801
2026-05-05 15:30:10 | INFO | Building model...
2026-05-05 15:30:24 | INFO | Model: 1262.6M parameters
2026-05-05 15:30:24 | INFO | Building optimizer(s): orscale_muon_moonlight_calibrated
2026-05-05 15:30:24 | INFO | Building scheduler...
2026-05-05 15:30:24 | INFO | Building training data loader...
2026-05-05 15:30:24 | INFO | Building validation data loader...
2026-05-05 15:30:26 | INFO | Launching training run
2026-05-05 15:30:26 | INFO |   config: configs/small_125m.yaml
2026-05-05 15:30:26 | INFO |   overrides: ['model.preset=moonlight_1_1b', 'model.max_seq_len=4096', 'training.batch_size=6', 'training.grad_accum_steps=8', 'training.max_steps=18145', 'training.seed=42', 'training.checkpoint_subdir=moonlight_1_1b/orscale_muon_moonlight_calibrated', 'training.checkpoint_subdir_mode=replace_leaf', 'optimizer.name=orscale_muon_moonlight_calibrated', 'logging.wandb_name=moonlight_1_1b-orscale_muon_moonlight_calibrated-seed42', 'optimizer.lr=0.0008561', 'optimizer.weight_decay=0.1', 'optimizer.adamw_lr=0.0008561', 'optimizer.adamw_weight_decay=0.1', 'optimizer.adamw_betas=[0.9, 0.95]', 'optimizer.r_min=0.1', 'optimizer.r_max=5.0', 'training.save_every=18146', 'training.compile=True', 'model.checkpoint_mlp=False']
2026-05-05 15:30:26 | INFO |   distributed: rank=0 local_rank=0 world_size=8 device=cuda:0
2026-05-05 15:30:26 | INFO |   seed: base=42 effective_rank_seed=42 precision=bfloat16
2026-05-05 15:30:26 | INFO |   model: preset=moonlight_1_1b seq_len=4096 norm=rmsnorm mlp=relusqr pos=rope tie_weights=True
2026-05-05 15:30:26 | INFO |   optimizer: name=orscale_muon_moonlight_calibrated optimizers=2 lr=0.0008561 weight_decay=0.1 momentum=0.95
2026-05-05 15:30:26 | INFO |   optimizer extras: ns_iters=5 adamw_lr=0.0008561 alpha=0.5 r_min=0.1 r_max=5.0 c_denom=auto
2026-05-05 15:30:26 | INFO |   schedule: max_steps=18145 warmup_steps=1000 grad_accum=8 tokens/step=1,572,864
2026-05-05 15:30:26 | INFO |   training cadence: log_every=10 val_every=500 val_steps=20 save_every=18146
2026-05-05 15:30:26 | INFO |   data(train): in-memory .bin shards (103 files) from /mnt/dllm/ruilai/dataset/fineweb10B/fineweb_train_*.bin
2026-05-05 15:30:26 | INFO |   data(val): in-memory .bin shards (1 files) from /mnt/dllm/ruilai/dataset/fineweb10B/fineweb_val_*.bin
2026-05-05 15:30:26 | INFO |   loaders: train=DataLoader val=DataLoader
2026-05-05 15:30:26 | INFO |   diagnostics: log_every=50 heavy_log_every=500
2026-05-05 15:30:26 | INFO |   wandb: enabled (project=orscale-fineweb10B, group=small_125m)
2026-05-05 15:30:26 | INFO | Starting training loop...
step 10/18145 | loss 11.2674 | lr_mult 0.0100 | tok/s 133204 | grad_norm 27.875
step 20/18145 | loss 10.6267 | lr_mult 0.0200 | tok/s 150425 | grad_norm 24.212
step 30/18145 | loss 9.5075 | lr_mult 0.0300 | tok/s 157216 | grad_norm 13.648
step 40/18145 | loss 8.5322 | lr_mult 0.0400 | tok/s 160867 | grad_norm 9.010
step 50/18145 | loss 7.7478 | lr_mult 0.0500 | tok/s 163163 | grad_norm 3.193
step 60/18145 | loss 7.1779 | lr_mult 0.0600 | tok/s 164742 | grad_norm 1.540
step 70/18145 | loss 6.8870 | lr_mult 0.0700 | tok/s 165884 | grad_norm 1.278
step 80/18145 | loss 6.6933 | lr_mult 0.0800 | tok/s 166737 | grad_norm 1.736
step 90/18145 | loss 6.5146 | lr_mult 0.0900 | tok/s 167395 | grad_norm 2.312
step 100/18145 | loss 6.3911 | lr_mult 0.1000 | tok/s 167925 | grad_norm 2.535
step 110/18145 | loss 6.2954 | lr_mult 0.1100 | tok/s 168359 | grad_norm 2.611
step 120/18145 | loss 6.1380 | lr_mult 0.1200 | tok/s 168723 | grad_norm 2.926
step 130/18145 | loss 6.0582 | lr_mult 0.1300 | tok/s 169031 | grad_norm 3.118
step 140/18145 | loss 6.0187 | lr_mult 0.1400 | tok/s 169295 | grad_norm 4.169
step 150/18145 | loss 5.9201 | lr_mult 0.1500 | tok/s 169526 | grad_norm 3.490
step 160/18145 | loss 5.8881 | lr_mult 0.1600 | tok/s 169727 | grad_norm 3.352
step 170/18145 | loss 5.7800 | lr_mult 0.1700 | tok/s 169906 | grad_norm 3.025
step 180/18145 | loss 5.7674 | lr_mult 0.1800 | tok/s 170066 | grad_norm 3.386
step 190/18145 | loss 5.7633 | lr_mult 0.1900 | tok/s 170208 | grad_norm 3.032
step 200/18145 | loss 5.7051 | lr_mult 0.2000 | tok/s 170337 | grad_norm 3.331
step 210/18145 | loss 5.6250 | lr_mult 0.2100 | tok/s 170432 | grad_norm 2.935
step 220/18145 | loss 5.5906 | lr_mult 0.2200 | tok/s 170539 | grad_norm 3.145
step 230/18145 | loss 5.5772 | lr_mult 0.2300 | tok/s 170638 | grad_norm 3.546
step 240/18145 | loss 5.5204 | lr_mult 0.2400 | tok/s 170728 | grad_norm 3.549
step 250/18145 | loss 5.4641 | lr_mult 0.2500 | tok/s 170808 | grad_norm 4.126
step 260/18145 | loss 5.3638 | lr_mult 0.2600 | tok/s 170884 | grad_norm 3.841
step 270/18145 | loss 5.3111 | lr_mult 0.2700 | tok/s 170955 | grad_norm 4.789
step 280/18145 | loss 5.2321 | lr_mult 0.2800 | tok/s 171020 | grad_norm 5.445
step 290/18145 | loss 5.1712 | lr_mult 0.2900 | tok/s 171081 | grad_norm 5.560
step 300/18145 | loss 5.0766 | lr_mult 0.3000 | tok/s 171138 | grad_norm 7.053
step 310/18145 | loss 5.0276 | lr_mult 0.3100 | tok/s 171192 | grad_norm 7.534
step 320/18145 | loss 4.9564 | lr_mult 0.3200 | tok/s 171243 | grad_norm 8.312
step 330/18145 | loss 4.8973 | lr_mult 0.3300 | tok/s 171290 | grad_norm 7.472
step 340/18145 | loss 4.8248 | lr_mult 0.3400 | tok/s 171335 | grad_norm 6.301
step 350/18145 | loss 4.7714 | lr_mult 0.3500 | tok/s 171366 | grad_norm 7.134
step 360/18145 | loss 4.7470 | lr_mult 0.3600 | tok/s 171404 | grad_norm 7.625
step 370/18145 | loss 4.7239 | lr_mult 0.3700 | tok/s 171442 | grad_norm 7.693
step 380/18145 | loss 4.6498 | lr_mult 0.3800 | tok/s 171479 | grad_norm 6.738
step 390/18145 | loss 4.6290 | lr_mult 0.3900 | tok/s 171513 | grad_norm 7.765
step 400/18145 | loss 4.5968 | lr_mult 0.4000 | tok/s 171546 | grad_norm 5.865
step 410/18145 | loss 4.5523 | lr_mult 0.4100 | tok/s 171577 | grad_norm 5.971
step 420/18145 | loss 4.5075 | lr_mult 0.4200 | tok/s 171607 | grad_norm 6.404
step 430/18145 | loss 4.4835 | lr_mult 0.4300 | tok/s 171635 | grad_norm 5.685
step 440/18145 | loss 4.4638 | lr_mult 0.4400 | tok/s 171663 | grad_norm 5.558
step 450/18145 | loss 4.4454 | lr_mult 0.4500 | tok/s 171689 | grad_norm 4.972
step 460/18145 | loss 4.3945 | lr_mult 0.4600 | tok/s 171714 | grad_norm 5.315
step 470/18145 | loss 4.3707 | lr_mult 0.4700 | tok/s 171737 | grad_norm 5.660
step 480/18145 | loss 4.3339 | lr_mult 0.4800 | tok/s 171760 | grad_norm 5.674
step 490/18145 | loss 4.3080 | lr_mult 0.4900 | tok/s 171781 | grad_norm 5.784
step 500/18145 | loss 4.2852 | lr_mult 0.5000 | tok/s 171803 | grad_norm 4.999
step 500/18145 | val_loss 4.2588
step 510/18145 | loss 4.2607 | lr_mult 0.5100 | tok/s 169969 | grad_norm 4.987
