2026-05-02 23:20:18 | INFO | Building model...
2026-05-02 23:20:23 | INFO | Model: 417.0M parameters
2026-05-02 23:20:23 | INFO | Building optimizer(s): orscale_muon_moonlight_calibrated
2026-05-02 23:20:23 | INFO | Building scheduler...
2026-05-02 23:20:23 | INFO | Building training data loader...
2026-05-02 23:20:23 | INFO | Building validation data loader...
2026-05-02 23:20:24 | INFO | Launching training run
2026-05-02 23:20:24 | INFO |   config: configs/small_125m.yaml
2026-05-02 23:20:24 | INFO |   overrides: ['model.preset=moonlight_399m', 'model.max_seq_len=8192', 'training.batch_size=1', 'training.grad_accum_steps=12', 'training.max_steps=11342', 'training.seed=42', 'training.checkpoint_subdir=moonlight_399m/orscale_muon_moonlight_calibrated', 'training.checkpoint_subdir_mode=replace_leaf', 'optimizer.name=orscale_muon_moonlight_calibrated', 'logging.wandb_name=moonlight_399m-orscale_muon_moonlight_calibrated-seed42', 'optimizer.lr=0.0009503', 'optimizer.weight_decay=0.1', 'optimizer.adamw_lr=0.0009503', 'optimizer.adamw_weight_decay=0.1', 'optimizer.adamw_betas=[0.9, 0.95]', 'optimizer.r_min=0.1', 'optimizer.r_max=5.0', 'training.save_every=11342']
2026-05-02 23:20:24 | INFO |   distributed: rank=0 local_rank=0 world_size=8 device=cuda:0
2026-05-02 23:20:24 | INFO |   seed: base=42 effective_rank_seed=42 precision=bfloat16
2026-05-02 23:20:24 | INFO |   model: preset=moonlight_399m seq_len=8192 norm=rmsnorm mlp=relusqr pos=rope tie_weights=True
2026-05-02 23:20:24 | INFO |   optimizer: name=orscale_muon_moonlight_calibrated optimizers=2 lr=0.0009503 weight_decay=0.1 momentum=0.95
2026-05-02 23:20:24 | INFO |   optimizer extras: ns_iters=5 adamw_lr=0.0009503 alpha=0.5 r_min=0.1 r_max=5.0 c_denom=auto
2026-05-02 23:20:24 | INFO |   schedule: max_steps=11342 warmup_steps=1000 grad_accum=12 tokens/step=786,432
2026-05-02 23:20:24 | INFO |   training cadence: log_every=10 val_every=500 val_steps=20 save_every=11342
2026-05-02 23:20:24 | INFO |   data(train): in-memory .bin shards (103 files) from /mnt/dllm/ruilai/dataset/fineweb10B/fineweb_train_*.bin
2026-05-02 23:20:24 | INFO |   data(val): in-memory .bin shards (1 files) from /mnt/dllm/ruilai/dataset/fineweb10B/fineweb_val_*.bin
2026-05-02 23:20:24 | INFO |   loaders: train=DataLoader val=DataLoader
2026-05-02 23:20:24 | INFO |   diagnostics: log_every=50 heavy_log_every=500
2026-05-02 23:20:24 | INFO |   wandb: enabled (project=orscale-fineweb10B, group=small_125m)
2026-05-02 23:20:24 | INFO | Starting training loop...
step 10/11342 | loss 11.0384 | lr_mult 0.0100 | tok/s 228708 | grad_norm 17.903
step 20/11342 | loss 10.6606 | lr_mult 0.0200 | tok/s 241583 | grad_norm 16.287
step 30/11342 | loss 9.9358 | lr_mult 0.0300 | tok/s 246226 | grad_norm 11.305
step 40/11342 | loss 9.0802 | lr_mult 0.0400 | tok/s 248625 | grad_norm 6.933
step 50/11342 | loss 8.2529 | lr_mult 0.0500 | tok/s 250114 | grad_norm 4.207
step 60/11342 | loss 7.6352 | lr_mult 0.0600 | tok/s 251131 | grad_norm 2.348
step 70/11342 | loss 7.1344 | lr_mult 0.0700 | tok/s 251850 | grad_norm 1.304
step 80/11342 | loss 6.9443 | lr_mult 0.0800 | tok/s 252378 | grad_norm 0.954
step 90/11342 | loss 6.7520 | lr_mult 0.0900 | tok/s 252801 | grad_norm 1.039
step 100/11342 | loss 6.5818 | lr_mult 0.1000 | tok/s 253134 | grad_norm 1.094
step 110/11342 | loss 6.4598 | lr_mult 0.1100 | tok/s 253403 | grad_norm 1.589
step 120/11342 | loss 6.3536 | lr_mult 0.1200 | tok/s 253632 | grad_norm 1.759
step 130/11342 | loss 6.2383 | lr_mult 0.1300 | tok/s 253807 | grad_norm 2.225
step 140/11342 | loss 6.1961 | lr_mult 0.1400 | tok/s 253975 | grad_norm 2.332
step 150/11342 | loss 6.1322 | lr_mult 0.1500 | tok/s 254116 | grad_norm 2.259
step 160/11342 | loss 6.0591 | lr_mult 0.1600 | tok/s 254248 | grad_norm 2.223
step 170/11342 | loss 6.0387 | lr_mult 0.1700 | tok/s 254361 | grad_norm 1.969
step 180/11342 | loss 6.0287 | lr_mult 0.1800 | tok/s 254464 | grad_norm 1.854
step 190/11342 | loss 5.9560 | lr_mult 0.1900 | tok/s 254549 | grad_norm 2.207
step 200/11342 | loss 5.9471 | lr_mult 0.2000 | tok/s 254629 | grad_norm 1.936
step 210/11342 | loss 5.8788 | lr_mult 0.2100 | tok/s 254702 | grad_norm 1.800
step 220/11342 | loss 5.8785 | lr_mult 0.2200 | tok/s 254768 | grad_norm 2.140
step 230/11342 | loss 5.8463 | lr_mult 0.2300 | tok/s 254827 | grad_norm 1.841
step 240/11342 | loss 5.8033 | lr_mult 0.2400 | tok/s 254884 | grad_norm 1.731
step 250/11342 | loss 5.7678 | lr_mult 0.2500 | tok/s 254934 | grad_norm 1.689
step 260/11342 | loss 5.7453 | lr_mult 0.2600 | tok/s 254980 | grad_norm 1.612
step 270/11342 | loss 5.7266 | lr_mult 0.2700 | tok/s 255023 | grad_norm 1.688
step 280/11342 | loss 5.7265 | lr_mult 0.2800 | tok/s 255061 | grad_norm 1.786
step 290/11342 | loss 5.6410 | lr_mult 0.2900 | tok/s 255101 | grad_norm 1.865
